subject,survey,order,judgment,item,condition,zscores,dependency,island,structure,distance,sent,tree,score
A1PV8FC3TVZ4Y4,3.1,29,3,RC.adj.isl.lg.06,RC.adj.isl.lg,-0.886481034,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.3135604695121164
A1R7CJMWXC79UO,3.4,27,5,RC.adj.isl.lg.01,RC.adj.isl.lg,0.475988215,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.6120725289156261
A1R7CJMWXC79UO,3.4,41,4,RC.adj.isl.lg.05,RC.adj.isl.lg,-0.055347467,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.495658812580522
A1WP410YX2JBKI,3.3,22,5,RC.adj.isl.lg.04,RC.adj.isl.lg,0.223369297,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.5567246423399738
A1WP410YX2JBKI,3.3,53,4,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.446738594,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.4099064394984998
A1YZJ7OO7Q2D89,3.1,17,2,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.200124913,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.24484223582844725
A1YZJ7OO7Q2D89,3.1,29,2,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.200124913,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.24484223582844725
A1ZM09IY4FG9O4,3.1,17,1,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.962450197,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.07781953742315989
A1ZM09IY4FG9O4,3.1,29,1,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.962450197,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.07781953742315989
A231ZXYHPSNUJQ,3.3,22,1,RC.adj.isl.lg.04,RC.adj.isl.lg,-0.805309064,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.33134495305060685
A231ZXYHPSNUJQ,3.3,53,1,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.805309064,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.33134495305060685
A24853ZOYPYMX5,3.1,17,1,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.097220781,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.26738815705712565
A24853ZOYPYMX5,3.1,29,1,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.097220781,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.26738815705712565
A28GQ44QN9DIH1,3.3,22,1,RC.adj.isl.lg.04,RC.adj.isl.lg,-0.946911603,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.3003203515304768
A28GQ44QN9DIH1,3.3,53,1,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.946911603,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.3003203515304768
A28JXW5YZJDNK4,3.4,27,1,RC.adj.isl.lg.01,RC.adj.isl.lg,-1.331591048,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.21603848357534242
A28JXW5YZJDNK4,3.4,41,1,RC.adj.isl.lg.05,RC.adj.isl.lg,-1.331591048,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.21603848357534242
A2AOII8TNC874D,3.1,17,1,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.320434078,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.21848293514285314
A2AOII8TNC874D,3.1,29,2,RC.adj.isl.lg.06,RC.adj.isl.lg,-0.874090165,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.31627526386487254
A2HBQP668JPNYH,3.2,24,3,RC.adj.isl.lg.03,RC.adj.isl.lg,-1.354385371,RC,ADJ,island,long,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.21104433027138128
A2HBQP668JPNYH,3.2,48,3,RC.adj.isl.lg.07,RC.adj.isl.lg,-1.354385371,RC,ADJ,island,long,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.21104433027138128
A2J7PEUIO2WVUN,3.3,22,4,RC.adj.isl.lg.04,RC.adj.isl.lg,-0.11933295,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.4816398258648385
A2J7PEUIO2WVUN,3.3,53,3,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.501198389,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.3979744963944078
A2NVNTNQ6KH6JR,3.4,27,1,RC.adj.isl.lg.01,RC.adj.isl.lg,-1.78033337,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.1177206721604788
A2NVNTNQ6KH6JR,3.4,41,2,RC.adj.isl.lg.05,RC.adj.isl.lg,-1.300243473,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.22290662329844008
A2OZTBCBOCHF9E,3.4,27,2,RC.adj.isl.lg.01,RC.adj.isl.lg,-0.822047998,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.3276775134630882
A2OZTBCBOCHF9E,3.4,41,1,RC.adj.isl.lg.05,RC.adj.isl.lg,-1.291789711,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.22475881182025761
A2RDTTBASNV2XF,3.2,24,1,RC.adj.isl.lg.03,RC.adj.isl.lg,-0.809614233,RC,ADJ,island,long,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.33040170617350234
A2RDTTBASNV2XF,3.2,48,1,RC.adj.isl.lg.07,RC.adj.isl.lg,-0.809614233,RC,ADJ,island,long,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.33040170617350234
A2SHOFSQGLTOCE,3.2,24,5,RC.adj.isl.lg.03,RC.adj.isl.lg,0.374889233,RC,ADJ,island,long,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.5899221094895959
A2SHOFSQGLTOCE,3.2,48,2,RC.adj.isl.lg.07,RC.adj.isl.lg,-1.624520012,RC,ADJ,island,long,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.15185881246220995
A2ULSKF43PA60E,3.1,17,4,RC.adj.isl.lg.02,RC.adj.isl.lg,-0.286572253,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.4449983025509148
A2ULSKF43PA60E,3.1,29,3,RC.adj.isl.lg.06,RC.adj.isl.lg,-0.815628719,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.32908395415566316
A2Z70GL7HTFFQR,3.1,17,4,RC.adj.isl.lg.02,RC.adj.isl.lg,-0.238757095,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.45547442984388703
A2Z70GL7HTFFQR,3.1,29,5,RC.adj.isl.lg.06,RC.adj.isl.lg,0.306973408,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.5750419991298807
A3209D1227UCYP,3.1,17,1,RC.adj.isl.lg.02,RC.adj.isl.lg,-1.138316359,RC,ADJ,island,long,I sympathize with the parents who the reverand sighs if the bride and groom neglect to thank.,(C-mat-decl (T-pres (lv-tr (I) (sympathize (with (the (parents (C-rel (T-pres (lv-tr (the (reverand)) (sigh (if (T-pres (lv-tr (the (bride_and_groom)) (neglect (to-inf (lv-tr (PRO) (thank (who))))))))))))))))))),0.2583842653141293
A3209D1227UCYP,3.1,29,1,RC.adj.isl.lg.06,RC.adj.isl.lg,-1.138316359,RC,ADJ,island,long,I spoke with the college president who the professor faints if the students publicly criticize.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (college_president (C-rel (T-pres (lv-tr (the (professor)) (faint (if (T-pres (lv-tr (the (students)) (criticize (publicly) (who)))))))))))))))),0.2583842653141293
A32YLOYZB8WIAR,3.4,27,1,RC.adj.isl.lg.01,RC.adj.isl.lg,-1.193507102,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.24629217416048896
A32YLOYZB8WIAR,3.4,41,1,RC.adj.isl.lg.05,RC.adj.isl.lg,-1.193507102,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.24629217416048896
A36SM7QM8OK3H6,3.2,24,2,RC.adj.isl.lg.03,RC.adj.isl.lg,-0.771910055,RC,ADJ,island,long,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.3386625545054242
A36SM7QM8OK3H6,3.2,48,1,RC.adj.isl.lg.07,RC.adj.isl.lg,-1.161927767,RC,ADJ,island,long,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.253211091657058
A38E9ET5TC41WD,3.4,27,4,RC.adj.isl.lg.01,RC.adj.isl.lg,0.105330877,RC,ADJ,island,long,I called the client who the secretary worries if the lawyer insults.,(C-mat-decl (T-past (lv-tr (I) (call (the (secretary (C-rel (T-pres (lv-tr (the (secretary)) (worry (if (T-pres (lv-tr (the (lawyer)) (insult (who))))))))))))))),0.530862853628927
A38E9ET5TC41WD,3.4,41,2,RC.adj.isl.lg.05,RC.adj.isl.lg,-0.813920417,RC,ADJ,island,long,I served the child who the other customer winks if the young couple play with at the restaurant.,(C-mat-decl (T-past (lv-tr (I) (serve (the (child (C-rel (T-pres (lv-tr (the (other_customer)) (wink (if (T-pres (lv-tr (the (young_couple)) (play (with (who)) (at (the (restaurant))))))))))))))))),0.3294582369135878
A38QM2WVQ7O9MF,3.2,24,1,RC.adj.isl.lg.03,RC.adj.isl.lg,-1.440150531,RC,ADJ,island,long,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.19225349550174348
A38QM2WVQ7O9MF,3.2,48,1,RC.adj.isl.lg.07,RC.adj.isl.lg,-1.440150531,RC,ADJ,island,long,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.19225349550174348
A3B6TW0WPGVR21,3.3,22,5,RC.adj.isl.lg.04,RC.adj.isl.lg,0.183050825,RC,ADJ,island,long,I met the famous artist who the parents blush if the child prodigy imitates.,(C-mat-decl (T-past (lv-tr (I) (meet (the (famous_artist (C-rel (T-pres (lv-tr (the (parents)) (blush (if (T-pres (lv-tr (the (child_prodigy)) (imitate (who))))))))))))))),0.5478910116965251
A3B6TW0WPGVR21,3.3,53,4,RC.adj.isl.lg.08,RC.adj.isl.lg,-0.305084708,RC,ADJ,island,long,I emailed the congressman who the teacher smiles if her students write letters to.,(C-mat-decl (T-past (lv-tr (I) (email (the (congressman (C-rel (T-pres (lv-tr (the (teacher)) (smile (if (T-pres (lv-tr (her (students)) (write-dobj-pobj (D-e (letters)) (to (who)))))))))))))))),0.44094229095966553
A3IA77UHAVA83X,3.2,24,3,RC.adj.isl.lg.03,RC.adj.isl.lg,-1.328253969,RC,ADJ,island,long,I talked to the famous actor who the news reporter coughs if the tourists photograph.,(C-mat-decl (T-past (lv-tr (I) (talk (to (the (famous_actor (C-rel (T-pres (lv-tr (the (news_reporter)) (cough (if (T-pres (lv-tr (the (tourists)) (photograph (who)))))))))))))))),0.21676962545279277
A3IA77UHAVA83X,3.2,48,5,RC.adj.isl.lg.07,RC.adj.isl.lg,-0.125306978,RC,ADJ,island,long,I interviewed the executive who the employee laughs if the office manager blackmails.,(C-mat-decl (T-past (lv-tr (I) (interview (the (executive (C-rel (T-pres (lv-tr (the (employee)) (laugh (if (T-pres (lv-tr (the (office_manager)) (blackmail (who))))))))))))))),0.4803309380477204
