symbol,form,cat,features,notes
Alan,Alan,N-prop,-N,
Amy,Amy,N-prop,-N,
Andrew,Andrew,N-prop,-N,
Avril_Lavigne,Avril_Lavigne,N-prop,-N,
Caroline,Caroline,N-prop,-N,
Casey,Casey,N-prop,-N,
Chad_Krueger,Chad_Krueger,N-prop,-N,
Christine,Christine,N-prop,-N,
Elizabeth,Elizabeth,N-prop,-N,
George,George,N-prop,-N,
Heather,Heather,N-prop,-N,
Jane,Jane,N-prop,-N,
Jared,Jared,N-prop,-N,
Jeff,Jeff,N-prop,-N,
Jessica,Jessica,N-prop,-N,
Laura,Laura,N-prop,-N,
Martin_Luther_King_Jr,Martin_Luther_King_Jr,N-prop,-N,
Matt,Matt,N-prop,-N,
Paul,Paul,N-prop,-N,
Rachel,Rachel,N-prop,-N,
Ralph,Ralph,N-prop,-N,
Stacey,Stacey,N-prop,-N,
Tom,Tom,N-prop,-N,
announcement-sc,announcement,N-sent-comp,+C -N,
claim-n-sc,claim,N-sent-comp,+C -N,
fact-sc,fact,N-sent-comp,+C -N,
rumor-sc,rumor,N-sent-comp,+C -N,
about,about,P,+D -P,
at,at,P,+D -P,
by,by,P,+D -P,
for,for,P,+D -P,
from,from,P,+D -P,
of,of,P,+D -P,
on,on,P,+D -P,
to,to,P,+D -P,
with,with,P,+D -P,
could,could,T,+lv -T,
should,should,T,+lv -T,
T-past,*e*,T,+lv -T,
T-pres,*e*,T,+lv -T,
to-control,to,T,+lv -T,
will,will,T,+lv -T,
neglect,neglect,V-control,+T -V,
share,share,V-dobj-pobj,+P +D -V,share X with
take,take,V-dobj-pobj,+P +D -V,take X with
write-dobj-pobj,write,V-dobj-pobj,+P +D -V,
blush,blush,V-int,-V,
cough,cough,V-int,-V,
faint,faint,V-int,-V,
laugh,laugh,V-int,-V,
sigh,sigh,V-int,-V,
smile,smile,V-int,-V,
wink,wink,V-int,-V,
worry,worry,V-int,-V,
apologize,apologize,V-pobj,+P -V,apologize to
care,care,V-pobj,+P -V,care about
complain,complain,V-pobj,+P -V,complain about
negotiate,negotiate,V-pobj,+P -V,negotiate with
perform,perform,V-pobj,+P -V,perform with (note: probably actually an adjunct)
rely,rely,V-pobj,+P -V,rely on
speak,speak,V-pobj,+P -V,speak to/with
sympathize,sympathize,V-pobj,+P -V,sympathize with
talk,talk,V-pobj,+P -V,talk to
vote,vote,V-pobj,+P -V,vote for
announce,announce,V-sent-comp,+C -V,
believe,believe,V-sent-comp,+C -V,
claim,claim,V-sent-comp,+C -V,
deny,deny,V-sent-comp,+C -V,
hear,hear,V-sent-comp,+C -V,
say,say,V-sent-comp,+C -V,
think,think,V-sent-comp,+C -V,
wonder,wonder,V-sent-comp,+C -V,
accompany,accompany,V-trans,+D -V,
admire,admire,V-trans,+D -V,
afford,afford,V-trans,+D -V,
bake,bake,V-trans,+D -V,
blackmail,blackmail,V-trans,+D -V,
buy,buy,V-trans,+D -V,
call,call,V-trans,+D -V,
capture,capture,V-trans,+D -V,
cause,cause,V-trans,+D -V,
chase,chase,V-trans,+D -V,
confront,confront,V-trans,+D -V,
criticize,criticize,V-trans,+D -V,
delay,delay,V-trans,+D -V,
develop,develop,V-trans,+D -V,
dislike,dislike,V-trans,+D -V,
eat,eat,V-trans,+D -V,
hire,hire,V-trans,+D -V,
hire,hire,V-trans,+D -V,
imitate,imitate,V-trans,+D -V,
impress,impress,V-trans,+D -V,
inspire,inspire,V-trans,+D -V,
insult,insult,V-trans,+D -V,
interrupt,interrupt,V-trans,+D -V,
interview,interview,V-trans,+D -V,
join,join,V-trans,+D -V,
kiss,kiss,V-trans,+D -V,
like,like,V-trans,+D -V,
lose,lose,V-trans,+D -V,
make,make,V-trans,+D -V,
meet,meet,V-trans,+D -V,
offend,offend,V-trans,+D -V,
photograph,photograph,V-trans,+D -V,
praise,praise,V-trans,+D -V,
promote,promote,V-trans,+D -V,
prompt,prompt,V-trans,+D -V,
read,read,V-trans,+D -V,
receive,receive,V-trans,+D -V,
research,research,V-trans,+D -V,
respect,respect,V-trans,+D -V,
see,see,V-trans,+D -V,
sell,sell,V-trans,+D -V,
serve,serve,V-trans,+D -V,
start,start,V-trans,+D -V,
steal,steal,V-trans,+D -V,
support,support,V-trans,+D -V,
thank,thank,V-trans,+D -V,
win,win,V-trans,+D -V,
write,write,V-trans,+D -V,
